2026-01-29T14:01:42.274972+0530 | INFO | ✅ Zecpath AI Logging System Started Successfully
2026-01-29T16:11:28.635454+0530 | INFO | ✅ Zecpath AI Logging System Started Successfully
2026-02-08 11:43:28,417 | INFO | Resume extraction started
2026-02-08 11:43:28,418 | INFO | Processing file: resume 10.pdf
2026-02-08 11:43:33,583 | INFO | Saved cleaned text: outputs/extracted_text\resume 10.txt
2026-02-08 11:43:33,584 | INFO | Processing file: resume 2.pdf
2026-02-08 11:43:34,053 | INFO | Saved cleaned text: outputs/extracted_text\resume 2.txt
2026-02-08 11:43:34,054 | INFO | Processing file: resume 3.pdf
2026-02-08 11:43:34,510 | INFO | Saved cleaned text: outputs/extracted_text\resume 3.txt
2026-02-08 11:43:34,510 | INFO | Processing file: resume 4.pdf
2026-02-08 11:43:43,811 | INFO | Saved cleaned text: outputs/extracted_text\resume 4.txt
2026-02-08 11:43:43,811 | INFO | Processing file: resume 5.pdf
2026-02-08 11:43:47,013 | INFO | Saved cleaned text: outputs/extracted_text\resume 5.txt
2026-02-08 11:43:47,013 | INFO | Processing file: resume 6.pdf
2026-02-08 11:43:52,246 | INFO | Saved cleaned text: outputs/extracted_text\resume 6.txt
2026-02-08 11:43:52,246 | INFO | Processing file: resume 7.pdf
2026-02-08 11:43:55,653 | INFO | Saved cleaned text: outputs/extracted_text\resume 7.txt
2026-02-08 11:43:55,654 | INFO | Processing file: resume 8.pdf
2026-02-08 11:44:00,410 | INFO | Saved cleaned text: outputs/extracted_text\resume 8.txt
2026-02-08 11:44:00,410 | INFO | Processing file: resume 9.pdf
2026-02-08 11:44:03,020 | INFO | Saved cleaned text: outputs/extracted_text\resume 9.txt
2026-02-08 11:44:03,021 | INFO | Processing file: sample.pdf
2026-02-08 11:44:03,349 | INFO | Saved cleaned text: outputs/extracted_text\sample.txt
2026-02-08 11:44:03,349 | INFO | Extraction finished | Processed: 10 | Failed: 0
2026-02-08 17:02:53,402 | INFO | Resume extraction started
2026-02-08 17:02:53,403 | INFO | Processing file: resume 10.pdf
2026-02-08 17:03:01,957 | INFO | Saved cleaned text: outputs/extracted_text\resume 10.txt
2026-02-08 17:03:01,957 | INFO | Processing file: resume 2.pdf
2026-02-08 17:03:02,446 | INFO | Saved cleaned text: outputs/extracted_text\resume 2.txt
2026-02-08 17:03:02,446 | INFO | Processing file: resume 3.pdf
2026-02-08 17:03:02,941 | INFO | Saved cleaned text: outputs/extracted_text\resume 3.txt
2026-02-08 17:03:02,942 | INFO | Processing file: resume 4.pdf
2026-02-08 17:03:12,761 | INFO | Saved cleaned text: outputs/extracted_text\resume 4.txt
2026-02-08 17:03:12,761 | INFO | Processing file: resume 5.pdf
2026-02-08 17:03:16,147 | INFO | Saved cleaned text: outputs/extracted_text\resume 5.txt
2026-02-08 17:03:16,147 | INFO | Processing file: resume 6.pdf
2026-02-08 17:03:21,522 | INFO | Saved cleaned text: outputs/extracted_text\resume 6.txt
2026-02-08 17:03:21,522 | INFO | Processing file: resume 7.pdf
2026-02-08 17:03:25,103 | INFO | Saved cleaned text: outputs/extracted_text\resume 7.txt
2026-02-08 17:03:25,103 | INFO | Processing file: resume 8.pdf
2026-02-08 17:03:29,842 | INFO | Saved cleaned text: outputs/extracted_text\resume 8.txt
2026-02-08 17:03:29,843 | INFO | Processing file: resume 9.pdf
2026-02-08 17:03:32,356 | INFO | Saved cleaned text: outputs/extracted_text\resume 9.txt
2026-02-08 17:03:32,356 | INFO | Processing file: sample.pdf
2026-02-08 17:03:32,701 | INFO | Saved cleaned text: outputs/extracted_text\sample.txt
2026-02-08 17:03:32,701 | INFO | Extraction finished | Processed: 10 | Failed: 0
2026-02-13 20:40:33,342 | INFO | TEST LOG ENTRY
2026-02-13 20:51:07,916 | INFO | test one resume
2026-02-13 20:51:53,012 | INFO | test sections
2026-02-13 20:52:09,602 | INFO | skill extracter
2026-02-13 20:53:01,993 | INFO | test experiance engine
2026-02-16 21:53:45,915 | INFO | test_education
2026-02-16 21:54:42,109 | INFO | test_education
2026-02-16 22:21:21,546 | INFO | test_education
2026-02-16 22:27:17,244 | INFO | test_education
2026-02-16 22:29:07,506 | INFO | test_education
2026-02-16 22:33:15,325 | INFO | test_education
2026-02-16 22:51:10,811 | INFO | test_certificate
2026-02-16 22:56:36,613 | INFO | test_certificate
2026-02-16 22:58:34,415 | INFO | test_certificate
2026-02-16 23:01:17,244 | INFO | test_education
2026-02-16 23:02:02,085 | INFO | test_education
2026-02-16 23:02:35,183 | INFO | test_education
2026-02-16 23:05:11,383 | INFO | test_education
2026-02-16 23:06:37,295 | INFO | test_certificate
2026-02-16 23:06:57,185 | INFO | test_certificate
2026-02-16 23:31:03,330 | INFO | test_education
2026-02-16 23:31:44,229 | INFO | test_education
2026-02-16 23:35:00,901 | INFO | test_education
2026-02-16 23:47:57,943 | INFO | test_certificate
2026-02-16 23:48:26,976 | INFO | test_certificate
2026-02-16 23:49:12,179 | INFO | test_certificate
2026-02-18 00:09:08,227 | INFO | main extractor
2026-02-18 00:25:30,311 | INFO | test one resume
2026-02-18 00:26:21,043 | INFO | test one resume
2026-02-18 00:26:41,663 | INFO | test one resume
2026-02-18 00:26:55,368 | INFO | test one resume
2026-02-18 00:27:07,997 | INFO | test one resume
